Num_Acc,id_vehicule,fixed_obstacle ,movable_obstacle,initial_shock,maneuver,motor,occupants_public_transport
201900000182,138 306 181,0,2,1,17,1,0.0
201900000183,138 306 178,0,2,3,1,1,0.0
201900000183,138 306 179,0,2,6,0,1,0.0
201900000184,138 306 176,0,2,2,1,1,0.0
201900000184,138 306 177,0,2,3,19,1,0.0
201900000185,138 306 175,0,0,9,1,1,0.0
201900000186,138 306 173,0,2,3,1,1,0.0
201900000186,138 306 174,0,0,8,19,1,0.0
201900000187,138 306 171,0,2,3,1,1,0.0
201900000187,138 306 172,3,0,3,21,1,0.0
201900000188,138 306 169,0,2,3,1,5,0.0
201900000188,138 306 170,0,9,1,15,1,0.0
201900000189,138 306 167,0,2,3,1,1,0.0
201900000189,138 306 168,0,2,1,1,1,0.0
201900000190,138 306 165,0,2,1,17,1,0.0
201900000190,138 306 166,0,2,3,1,1,0.0
201900000191,138 306 163,0,2,1,0,2,0.0
201900000191,138 306 164,0,0,0,2,0,0.0
201900000192,138 306 161,0,0,0,1,5,0.0
201900000192,138 306 162,0,0,0,0,1,0.0
201900000193,138 306 159,0,0,4,23,6,0.0
201900000193,138 306 160,1,0,1,2,6,0.0
201900000194,138 306 158,3,0,3,1,1,0.0
201900000195,138 306 156,0,2,1,2,1,0.0
201900000195,138 306 157,0,0,4,1,1,0.0
201900000196,138 306 154,0,2,2,15,1,0.0
201900000196,138 306 155,0,2,1,1,1,0.0
201900000197,138 306 153,0,1,6,1,0,0.0
201900000198,138 306 152,13,0,9,15,1,0.0
201900000199,138 306 148,0,2,2,2,1,0.0
201900000199,138 306 149,0,2,6,2,1,0.0
201900000199,138 306 150,0,2,8,2,1,0.0
201900000199,138 306 151,0,2,5,2,1,0.0
201900000200,138 306 145,3,0,0,0,1,0.0
201900000200,138 306 146,0,2,3,23,1,0.0
201900000200,138 306 147,0,2,2,2,1,0.0
201900000201,138 306 144,7,0,1,1,1,0.0
201900000202,138 306 143,0,2,6,1,1,0.0
201900000203,138 306 141,0,2,1,13,1,0.0
201900000203,138 306 142,0,2,1,1,1,0.0
201900000204,138 306 140,3,0,7,1,1,0.0
201900000205,138 306 138,0,2,3,1,1,0.0
201900000205,138 306 139,0,2,3,13,1,0.0
201900000206,138 306 137,3,0,1,0,0,0.0
201900000207,138 306 136,3,0,1,14,1,0.0
201900000208,138 306 135,0,1,1,1,1,0.0
201900000209,138 306 133,0,0,5,12,1,0.0
201900000209,138 306 134,0,2,3,2,1,0.0
201900000210,138 306 132,15,0,9,1,1,0.0
201900000211,138 306 130,0,2,1,1,1,0.0
201900000211,138 306 131,0,2,7,13,1,0.0
201900000212,138 306 128,0,1,4,0,1,0.0
201900000212,138 306 129,1,1,1,0,1,0.0
201900000213,138 306 127,0,1,2,1,1,0.0
201900000214,138 306 124,1,2,1,2,1,0.0
201900000214,138 306 125,0,0,4,24,1,0.0
201900000214,138 306 126,0,0,4,2,1,0.0
201900000215,138 306 119,13,0,8,2,1,0.0
201900000215,138 306 120,0,2,1,2,1,0.0
201900000215,138 306 121,0,2,8,1,1,0.0
201900000215,138 306 122,0,2,1,1,1,0.0
201900000215,138 306 123,0,2,1,5,1,0.0
201900000216,138 306 118,0,0,3,1,1,0.0
201900000217,138 306 116,0,2,8,0,1,0.0
201900000217,138 306 117,0,2,8,13,1,0.0
201900000218,138 306 113,0,2,7,15,5,0.0
201900000218,138 306 114,0,9,1,26,0,0.0
201900000219,138 306 112,0,1,2,0,0,0.0
201900000220,138 306 110,0,2,1,26,1,0.0
201900000220,138 306 111,0,2,1,24,5,0.0
201900000221,138 306 108,0,2,1,1,1,0.0
201900000221,138 306 109,0,2,8,1,1,0.0
201900000222,138 306 106,0,2,1,1,1,0.0
201900000222,138 306 107,0,2,1,13,1,0.0
201900000223,138 306 104,0,2,1,1,1,0.0
201900000223,138 306 105,0,2,5,16,1,0.0
201900000224,138 306 102,0,9,1,17,1,0.0
201900000224,138 306 103,0,2,8,10,5,0.0
201900000225,138 306 100,0,2,1,1,1,0.0
201900000225,138 306 101,0,2,1,17,1,0.0
201900000226,138 306 098,0,2,2,15,1,0.0
201900000226,138 306 099,0,2,1,1,1,0.0
201900000227,138 306 097,0,1,7,1,1,0.0
201900000228,138 306 096,2,0,2,0,1,0.0
201900000229,138 306 095,0,0,0,1,1,0.0
201900000230,138 306 092,0,2,3,1,1,0.0
201900000230,138 306 093,0,2,2,15,1,0.0
201900000231,138 306 090,0,2,2,15,1,0.0
201900000231,138 306 091,0,2,8,1,1,0.0
201900000232,138 306 088,0,9,2,1,1,0.0
201900000232,138 306 089,0,2,1,16,5,0.0
201900000233,138 306 087,14,0,1,26,1,0.0
201900000234,138 306 083,0,2,3,11,1,0.0
201900000234,138 306 084,0,2,3,1,1,0.0
201900000235,138 306 081,0,2,1,1,1,0.0
201900000235,138 306 082,0,2,4,1,1,0.0
201900000236,138 306 078,0,0,8,1,1,0.0
201900000236,138 306 079,0,2,3,1,1,0.0
201900000236,138 306 080,0,2,1,17,1,0.0
201900000237,138 306 077,17,0,1,15,1,0.0
201900000238,138 306 076,0,9,1,1,0,0.0
201900000239,138 306 074,0,2,1,18,1,0.0
201900000239,138 306 075,0,2,5,1,1,0.0
201900000240,138 306 072,0,0,7,15,5,0.0
201900000240,138 306 073,0,2,3,9,1,0.0
201900000241,138 306 068,0,2,3,15,1,0.0
201900000241,138 306 069,16,2,3,1,1,0.0
201900000242,138 306 066,0,2,1,15,1,0.0
201900000242,138 306 067,0,2,3,1,1,0.0
201900000243,138 306 063,0,0,0,1,1,0.0
201900000243,138 306 064,0,2,1,21,1,0.0
201900000243,138 306 065,0,2,1,17,1,0.0
201900000244,138 306 061,0,2,1,1,1,0.0
201900000244,138 306 062,0,2,1,13,1,0.0
201900000245,138 306 059,0,2,3,9,1,0.0
201900000245,138 306 060,0,2,1,1,5,0.0
201900000246,138 306 054,0,2,3,15,0,0.0
201900000246,138 306 055,0,2,1,1,0,0.0
201900000247,138 306 052,0,2,2,13,1,0.0
201900000247,138 306 053,0,2,3,1,1,0.0
