Accident ID,road category,traffic regime,total number of traffic lanes,existence of reserved lanes,plan layout,surface condition,development - infrastructure,situation of the accident,maximum authorized speed at the scene and at the time of the accident
2.019E+11,4,3,4,0,1,1,0,1,50
2.019E+11,5,2,1,0,2,1,6,1,50
2.019E+11,4,1,1,0,1,1,0,1,30
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,1,0,1,2,0,1,80
2.019E+11,3,2,2,0,1,2,0,1,80
2.019E+11,2,3,4,0,1,2,0,1,110
2.019E+11,3,2,2,0,1,1,0,3,80
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,3,2,2,0,1,1,0,1,70
2.019E+11,3,2,2,0,1,2,0,1,50
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,2,2,2,0,1,2,0,3,80
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,3,2,2,0,1,2,0,1,50
2.019E+11,3,2,2,0,1,2,0,1,50
2.019E+11,4,2,2,0,2,1,0,1,70
2.019E+11,3,2,2,0,3,1,0,1,80
2.019E+11,3,2,2,0,1,1,0,1,30
2.019E+11,4,2,2,0,4,1,0,1,50
2.019E+11,3,2,2,0,3,2,0,3,80
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,3,2,2,0,3,1,0,3,80
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,1,1,9,1,50
2.019E+11,3,1,1,0,1,1,0,1,30
2.019E+11,3,2,2,0,1,1,0,1,50
2.019E+11,3,2,2,0,3,1,2,8,80
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,1,2,1,1,80
2.019E+11,3,2,2,0,3,1,0,1,80
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,2,1,0,3,50
2.019E+11,3,2,2,0,1,1,0,1,80
2.019E+11,3,2,2,0,1,2,0,3,80
2.019E+11,4,2,2,0,1,2,0,1,80
